PROVINCIA_ISTAT_COD;IND1;IND3
001;106.384456157081;18.9145155301057
002;169.607624117176;21.7684372824589
003;86.2203537778383;-5.96900650153311
004;125.620622670788;16.0535394627826
005;118.665856858276;29.7215066893187
006;125.369251212678;15.3694165334536
008;109.293239625825;5.6654780892143
009;126.518533547162;17.2263234340795
010;117.853337344986;51.0552789793113
011;149.17821960148;69.37602194324
012;49.7134344884307;-29.0316530057699
013;56.12561716658;-11.4823717632187
014;88.8263371599734;-49.1795172481349
015;54.7935735407332;1.94067330714248
016;57.4988484060666;-34.5749830598045
017;62.2683319151566;-15.5601312924006
018;73.2849067112598;-11.0088440960643
019;79.6781034523973;-19.1214855751429
020;75.8372183518529;-2.50118173410828
023;61.838560516839;-5.6463895758825
024;59.8867140908367;-20.1233176246342
025;168.831763887595;25.1088093121135
026;70.2660089097174;-7.79328082367233
027;60.3265832411657;-7.93462658769461
028;50.8374559387446;-27.6242206047677
029;76.8837264511859;-4.88758707648797
033;101.29736255213;-19.2605993866487
034;84.6706644743827;-16.2535475304964
035;75.5903924659473;-19.8342063480772
036;78.2653398598476;-14.288189650611
037;87.2390959747623;4.92416681053006
038;89.9933700564463;-17.1266363376501
039;71.4702114511706;-21.4024835378375
040;73.6356711555786;-16.1610639241131
041;109.590984663425;8.90775694753225
042;113.548915335597;11.2187744392189
043;124.271554492401;19.4229698608397
044;77.8444177799082;35.2016291625694
045;119.976309450583;3.30277593529321
046;100.719664227614;2.76672557452985
047;80.6282506649803;-38.8382104428841
048;77.9562890300045;12.6068403703686
049;114.324643610127;26.8126928174038
050;111.316344497875;15.0342373079457
051;95.6736489953321;-19.4244706692148
052;141.465020320399;25.8327391869299
053;143.475556407355;-5.55058635435123
054;113.802360817654;-7.74868823525502
055;104.017902355348;-3.01865584383012
056;104.934766068706;-3.72630444131456
057;188.672005653281;10.2638589579353
058;87.0285948520942;16.1083907270844
059;102.703997588373;19.749852997285
060;110.307065129699;15.3700700057934
061;119.252771151382;53.8427854068204
062;82.6915408694418;-24.4442910238624
063;107.935813657611;31.334020032455
064;58.587409225702;-37.1726077563456
065;64.8442904130024;-20.534997289703
066;123.112916067696;-3.04994569619636
067;82.0672418587543;-25.5466522348719
068;69.4772241031896;-23.1609726209306
069;75.9172081851567;-33.7392132032799
070;104.290976025271;-29.4423970536261
071;67.9328403612147;-37.5633125498145
072;49.9391088766851;-22.3144557651159
073;78.7038731791465;-9.45495418043344
074;75.7638073676458;-24.6027436329982
075;74.3038271372872;-7.59139318559654
076;160.57637627165;17.5186104065451
077;159.469870031969;16.0825865087028
078;117.235017743188;-10.9081639444807
079;121.978529784906;32.4257724646332
080;98.0381493528219;-14.3468788951054
094;132.649348496433;-10.3044201700386
096;149.092355412081;-2.44936453889057
097;67.395732379123;3.27689602797461
098;66.773108749874;-11.7512283593145
099;72.2578585706693;-19.4909633028409
100;95.9888819553586;-4.88435351913665
101;131.7831880884;13.5384548284991
102;142.542072223019;30.1356256799657
103;148.672260373264;18.0917911015311
